,V1,V2,V3,HP,Volume.HP
88,0.023277454,-0.065186771,-0.112774795,0.263856495,-0.026326473
89,0.06042395,-0.003482764,-0.075220093,0.440479169,0.067148224
90,0.08892932,0.002320864,-0.061590917,0.482531986,-0.043283999
91,0.103430395,0.011723571,-0.079205362,0.499353113,-0.166708247
92,0.099954065,-0.018801356,-0.061410617,0.432068606,-0.636133913
93,0.076911435,-0.033745376,-0.100411936,0.272267899,-0.650067167
94,0.065787269,-0.032517005,-0.078486072,0.465710018,0.41370512
95,0.071349283,-0.040094872,-0.09429257,0.499353113,-0.304960687
96,0.060622484,-0.055279838,-0.118883493,0.406836074,-0.893983971
97,0.07859989,-0.042429988,-0.099314175,0.364784098,-0.984727565
98,0.07174665,-0.050642746,-0.12223048,0.280678463,0.284294048
99,0.102536388,-0.013711419,-0.134881541,-1.258454654,6.701645183
